station_name,latitude,longitude,elevation
BE-Maa,50.97987,5.631851,85.89543152
BE-Lon,50.55162,4.746234,168.5903015
CZ-KrP,49.573257,15.078773,543.7374878
FI-Qvd,60.295242,22.391607,5.679937363
FR-Aur,43.54965,1.106103,244.3140106
FR-Gri,48.84422,1.95191,121.9627533
FR-Lam,43.496437,1.237878,178.9725494
DE-Geb,51.09973,10.91463,161.3664856
DE-Kli,50.89306,13.52238,480.1984558
DE-RuS,50.865906,6.4471445,102.5233917
IT-BCi,40.52375,14.957444,10.13536167
CH-Oe2,47.286417,7.73375,451.90802
CZ-Lnz,48.68155,16.946331,181.3612366
CZ-Stn,49.03597,17.9699,476.0252075
DK-Sor,55.48587,11.644645,40
FR-Fon,48.476357,2.780096,113.3226395
FR-Hes,48.6741,7.06465,320.8886108
DE-Hai,51.079407,10.452089,468.2496643
DE-HoH,52.08656,11.22235,215.8092957
DE-Hzd,50.96381,13.48978,383.2720642
GF-Guy,5.2787,-52.9248,53.02915955
BE-Bra,51.30761,4.51984,32.03133392
CZ-BK1,49.502075,18.536882,882.0344849
CZ-RAJ,49.4437236,16.6965125,652.3496094
FI-Hyy,61.84741,24.29477,187.526413
FI-Ken,67.98721,24.24301,350.9222717
FI-Let,60.64183,23.95952,123.8983002
FI-Var,67.7549,29.61,395.9870605
FR-Bil,44.493652,-0.956092,38.83230209
FR-FBn,43.24079,5.67865,434.526062
DE-RuW,50.50493,6.3309627,627.1288452
DE-Tha,50.96256,13.56515,408.681366
DE-Obe,50.78666,13.72129,744.2780151
IL-Yat,31.34504,35.05198,658.4355469
IT-Ren,46.58686,11.43369,1749.939941
IT-SR2,43.73202,10.29091,13.85927677
IT-Lav,45.9562,11.28132,1367.592163
NL-Spe,52.255,5.690278,65.15446472
RU-Fy2,56.447603,32.901878,277.8615112
RU-Fyo,56.4615,32.9221,278.1734619
SE-Htm,56.09763,13.41897,120.5034714
SE-Nor,60.0865,17.479504,46
SE-Svb,64.25611,19.7745,277.8584595
SE-Ros,64.1725,19.738,168.961441
CH-Dav,46.81533,9.85591,1657.424072
BE-Dor,50.311874,4.968113,246.6483459
FR-Tou,43.572857,1.37474,157.2071838
DE-Gri,50.95004,13.51259,377.0952759
DE-RuR,50.621914,6.304126,513.3651733
IT-MBo,46.01468,11.045831,1556.345093
IT-Tor,45.84444,7.578055,2161.397705
CH-Aws,46.583194,9.790417,1976.19458
CH-Cha,47.210222,8.410444,391.412323
CH-Fru,47.115833,8.537778,981.6561279
BE-Vie,50.304962,5.998099,493.235199
IT-Cp2,41.704266,12.357293,18.41332436
IT-Lsn,45.740482,12.750297,-0.184282228
ES-Agu,36.940046,-2.033208,201.7076569
ES-LJu,36.926594,-2.752115,1613.89502
FI-Sii,61.83265,24.19285,166.5739288
FR-LGt,47.322918,2.284102,154.7416992
SE-Deg,64.18203,19.55654,265.4534607
ES-Abr,38.701839,-6.785881,279.9830627
ES-LM1,39.94269,-5.778683,264.1048584
ES-LM2,39.934592,-5.775881,268.6992188
CZ-wet,49.0247,14.7704,1180.554932
DE-Akm,53.86617,13.68342,0.24140045
ES-Cnd,37.914998,-3.227659,367.7266235
NL-Loo,52.166447,5.74355,33
NL-Vee,51.981,5.62,5.7
NL-Cab,51.971,4.927,-0.7
