station_name,latitude,longitude,elevation,height_canopy,sd_height_canopy
BE-Maa,50.97987,5.631851,85.89543151855469,12,9
BE-Lon,50.55162,4.746234,168.59030151367188,0,0
CZ-KrP,49.573257,15.078773,543.7374877929688,0,0
FI-Qvd,60.295242,22.391607,5.679937362670898,4,2
FR-Aur,43.54965,1.106103,244.3140106201172,0,0
FR-Gri,48.84422,1.95191,121.96275329589844,0,0
FR-Lam,43.496437,1.237878,178.97254943847656,0,0
DE-Geb,51.09973,10.91463,161.36648559570312,0,0
DE-Kli,50.89306,13.52238,480.1984558105469,0,1
DE-RuS,50.865906,6.4471445,102.52339172363281,0,0
IT-BCi,40.52375,14.957444,10.135361671447754,0,1
CH-Oe2,47.286417,7.73375,451.90802001953125,0,0
CZ-Lnz,48.68155,16.946331,181.36123657226562,28,8
CZ-Stn,49.03597,17.9699,578.99462890625,27,10
DK-Sor,55.48587,11.644645,,25,9
FR-Fon,48.476357,2.780096,113.32263946533203,26,6
FR-Hes,48.6741,7.06465,320.88861083984375,21,7
DE-Hai,51.079407,10.452089,468.2496643066406,28,6
DE-HoH,52.08656,11.22235,215.80929565429688,32,8
DE-Hzd,50.96381,13.48978,383.2720642089844,15,8
GF-Guy,5.2787,-52.9248,53.02915954589844,37,8
BE-Bra,51.30761,4.51984,32.031333923339844,23,7
CZ-BK1,49.502075,18.536882,882.0344848632812,25,8
CZ-RAJ,49.4437236,16.6965125,652.349609375,31,8
FI-Hyy,61.84741,24.29477,187.5264129638672,18,8
FI-Ken,67.98721,24.24301,350.9222717285156,17,9
FI-Let,60.64183,23.95952,123.89830017089844,28,8
FI-Var,67.7549,29.61,395.987060546875,5,5
FR-Bil,44.493652,-0.956092,38.83230209350586,13,6
FR-FBn,43.24079,5.67865,434.52606201171875,17,5
DE-RuW,50.50493,6.3309627,627.1288452148438,35,7
DE-Tha,50.96256,13.56515,408.6813659667969,32,8
DE-Obe,50.78666,13.72129,744.2780151367188,27,8
IL-Yat,31.34504,35.05198,658.435546875,2,6
IT-Ren,46.58686,11.43369,1749.93994140625,29,7
IT-SR2,43.73202,10.29091,13.85927677154541,29,7
IT-Lav,45.9562,11.28132,1367.5921630859375,32,7
NL-Spe,52.255,5.690278,65.15446472167969,27,7
RU-Fy2,56.447603,32.901878,277.86151123046875,34,8
RU-Fyo,56.4615,32.9221,278.1734619140625,32,7
SE-Htm,56.09763,13.41897,120.50347137451172,27,8
SE-Nor,60.0865,17.479504,,31,10
SE-Svb,64.25611,19.7745,277.85845947265625,10,9
SE-Ros,64.1725,19.738,168.96144104003906,12,9
CH-Dav,46.81533,9.85591,1657.424072265625,33,9
BE-Dor,50.311874,4.968113,246.64834594726562,4,4
FR-Tou,43.572857,1.37474,157.20718383789062,0,0
DE-Gri,50.95004,13.51259,377.09527587890625,5,4
DE-RuR,50.621914,6.304126,513.3651733398438,4,3
IT-MBo,46.01468,11.045831,1556.3450927734375,9,7
IT-Tor,45.84444,7.578055,2161.397705078125,0,1
CH-Aws,46.583194,9.790417,1976.194580078125,15,10
CH-Cha,47.210222,8.410444,391.4123229980469,5,5
CH-Fru,47.115833,8.537778,981.6561279296875,6,6
BE-Vie,50.304962,5.998099,493.2351989746094,35,7
IT-Cp2,41.704266,12.357293,18.4133243560791,18,5
IT-Lsn,45.740482,12.750297,-0.18428222835063934,5,4
ES-Agu,36.940046,-2.033208,201.70765686035156,0,0
ES-LJu,36.926594,-2.752115,1613.89501953125,0,0
FI-Sii,61.83265,24.19285,166.5739288330078,4,2
FR-LGt,47.322918,2.284102,154.74169921875,15,7
SE-Deg,64.18203,19.55654,265.4534606933594,3,2
ES-Abr,38.701839,-6.785881,279.9830627441406,0,0
ES-LM1,39.94269,-5.778683,264.1048583984375,0,1
ES-LM2,39.934592,-5.775881,268.69921875,0,1
CZ-wet,49.0247,14.7704,425.8898620605469,6,8
DE-Akm,53.86617,13.68342,0.24140045046806335,13,6
ES-Cnd,37.914998,-3.227659,367.72662353515625,0,0
NL-Loo,52.166447,5.74355,37.3416862487793,25,8
NL-Vee,51.981,5.62,5.303183078765869,5,6
NL-Cab,51.971,4.927,-1.4762492179870605,14,8
