station_name,latitude,longitude,elevation,height_canopy_ETH,sd_height_canopy,height_canopy_field_information,measurement_height,IGBP_long_name,IGBP_short_name,Remarks for height_canopy and measurement_height
BE-Lon,50.55162,4.746234,168.5903015,0,0,1,2.7,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
CH-Oe2,47.286417,7.73375,451.90802,0,0,1,2,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
CZ-KrP,49.573257,15.078773,543.7374878,0,0,1,10,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-Geb,51.09973,10.91463,161.3664856,0,0,1,2,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-Kli,50.89306,13.52238,480.1984558,0,1,1,2,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-RuS,50.865906,6.4471445,102.5233917,0,0,1,2,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FI-Qvd,60.295242,22.391607,5.679937363,4,2,0.5,2.3,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FR-Aur,43.54965,1.106103,244.3140106,0,0,1,3.5,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FR-Gri,48.84422,1.95191,121.9627533,0,0,1,3,Croplands,CRO,modelevaluation(https://modelevaluation.org/dataSet/display/mhoNTbZyxPr69YS2S)
FR-Lam,43.496437,1.237878,178.9725494,0,0,1.5,3.5,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
IT-BCi,40.52375,14.957444,10.13536167,0,1,1,2,Croplands,CRO,modelevaluation(https://modelevaluation.org/dataSet/display/Zc3pA9Nja7SnbQhpD)
BE-Maa,50.97987,5.631851,85.89543152,12,9,0.7,3,Closed Shrublands,CSH,height_canopy and measurement_height from https://meta.icos-cp.eu/objects/hYoHpccaPJv8R7cUeAnBnBV0
CZ-Lnz,48.68155,16.946331,181.3612366,28,8,36,48,Deciduous Broadleaf Forests,DBF,https://presentations.copernicus.org/EGU2020/EGU2020-7820_presentation.pdf
CZ-Stn,49.03597,17.9699,476.0252075,27,10,13,22,Deciduous Broadleaf Forests,DBF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-Hai,51.079407,10.452089,468.2496643,28,6,13,22,Deciduous Broadleaf Forests,DBF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-HoH,52.08656,11.22235,215.8092957,32,8,13,22,Deciduous Broadleaf Forests,DBF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-Hzd,50.96381,13.48978,383.2720642,15,8,,,Deciduous Broadleaf Forests,DBF,NA
DK-Sor,55.48587,11.644645,40,25,9,10,30,Deciduous Broadleaf Forests,DBF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FR-Fon,48.476357,2.780096,113.3226395,26,6,23,35,Deciduous Broadleaf Forests,DBF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FR-Hes,48.6741,7.06465,320.8886108,21,7,13,22,Deciduous Broadleaf Forests,DBF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
GF-Guy,5.2787,-52.9248,53.02915955,37,8,35,55,Evergreen Broadleaf Forests,EBF,model evaluation (https://modelevaluation.org/dataSet/display/gXpQsLePFKJnmBjgz)
CH-Dav,46.81533,9.85591,1657.424072,33,9,25,35,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
CZ-BK1,49.502075,18.536882,882.0344849,25,8,17,25.5,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
CZ-RAJ,49.4437236,16.6965125,652.3496094,31,8,17,25.5,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-Obe,50.78666,13.72129,744.2780151,27,8,17,25.5,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-RuW,50.50493,6.3309627,627.1288452,35,7,17,25.5,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
DE-Tha,50.96256,13.56515,408.681366,32,8,31,42,Evergreen Needleleaf Forests,ENF,https://doi.org/10.1016/j.jhydrol.2022.128873
FI-Hyy,61.84741,24.29477,187.526413,18,8,14,23.3,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FI-Ken,67.98721,24.24301,350.9222717,17,9,13,23,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
FI-Let,60.64183,23.95952,123.8983002,28,8,20,25.5,Evergreen Needleleaf Forests,ENF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
