,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,latitude,longitude,image_date
BE-Maa,277.8300018310547,279.4076843261719,280.9735565185547,282.7726135253906,284.2886199951172,0.29681396484375,0.2963104248046875,0.3084564208984375,0.2828369140625,50.97987,5.631851,2016-01-01
BE-Lon,270.05296325683594,273.591552734375,275.1609344482422,278.5272979736328,282.7979888916016,0.3780517578125,0.3834991455078125,0.3411865234375,0.325103759765625,50.55162,4.746234,2004-01-01
CZ-KrP,274.3783569335937,273.6261138916016,274.27732849121094,277.2398376464844,280.6469268798828,0.3455047607421875,0.3512420654296875,0.3647308349609375,0.365386962890625,49.573257,15.078773,2014-01-01
FI-Qvd,273.7578430175781,274.2730712890625,274.8156280517578,276.23069763183594,278.9269104003906,0.3089599609375,0.320220947265625,0.326995849609375,0.29620361328125,60.295242,22.391607,2018-01-01
FR-Aur,279.52989196777344,280.0268859863281,280.41529846191406,281.14735412597656,286.08302307128906,0.3694610595703125,0.364837646484375,0.318939208984375,0.3154754638671875,43.54965,1.106103,2005-01-01
FR-Gri,272.45530700683594,274.450927734375,276.2410125732422,279.8925323486328,284.4815826416016,0.3686370849609375,0.368133544921875,0.31219482421875,0.30987548828125,48.84422,1.95191,2004-01-01
FR-Lam,279.65489196777344,280.1460266113281,280.49147033691406,281.22743225097656,286.11817932128906,0.3776092529296875,0.3767852783203125,0.345306396484375,0.32330322265625,43.496437,1.237878,2005-01-01
DE-Geb,262.1690979003906,272.2853240966797,273.8690948486328,275.3937530517578,279.84375,0.398529052734375,0.411407470703125,0.4246368408203125,0.3956451416015625,51.09973,10.91463,2003-01-01
DE-Kli,271.20140075683594,272.708740234375,273.5124969482422,275.5468292236328,280.3253326416016,0.3587799072265625,0.3642730712890625,0.3534393310546875,0.331146240234375,50.89306,13.52238,2004-01-01
DE-RuS,273.10406494140625,273.2491760253906,273.5036926269531,275.17991638183594,280.0743103027344,0.3611297607421875,0.3675384521484375,0.389984130859375,0.3781585693359375,50.865906,6.4471445,2011-01-01
IT-BCi,,,,,,,,,,40.52375,14.957444,2004-01-01
CH-Oe2,271.47874450683594,272.630615234375,273.1394500732422,275.1190948486328,279.8624420166016,0.383331298828125,0.3928680419921875,0.3998260498046875,0.3805389404296875,47.286417,7.73375,2004-01-01
CZ-Lnz,268.37257385253906,271.1888732910156,273.2300720214844,277.7039337158203,283.5415954589844,0.3562469482421875,0.3632965087890625,0.3698272705078125,0.3016510009765625,48.68155,16.946331,2015-01-01
CZ-Stn,274.00270080566406,273.2223052978516,273.05633544921875,274.9745788574219,280.81207275390625,0.416046142578125,0.3903961181640625,0.3628082275390625,0.332763671875,49.03597,17.9699,2010-01-01
DK-Sor,268.7452697753906,271.3478240966797,273.4140167236328,275.6125030517578,280.388671875,0.3803863525390625,0.3905181884765625,0.3814239501953125,0.353973388671875,55.48587,11.644645,2003-01-01
FR-Fon,281.21543884277344,280.3628234863281,279.58326721191406,279.03797912597656,283.85646057128906,0.3640594482421875,0.3489532470703125,0.2579498291015625,0.28411865234375,48.476357,2.780096,2005-01-01
FR-Hes,276.2787475585937,276.4288482666016,276.79881286621094,279.2749938964844,281.9652862548828,0.3911895751953125,0.3983154296875,0.40521240234375,0.39544677734375,48.6741,7.06465,2014-01-01
DE-Hai,264.3526916503906,272.5880584716797,274.0624542236328,275.9210968017578,279.783203125,0.395172119140625,0.406097412109375,0.4275665283203125,0.4005126953125,51.079407,10.452089,2003-01-01
DE-HoH,276.20655822753906,276.1849670410156,276.1792907714844,277.9910430908203,282.7427673339844,0.3964996337890625,0.38372802734375,0.369537353515625,0.348968505859375,52.08656,11.22235,2015-01-01
DE-Hzd,272.86598205566406,272.9000396728516,272.66180419921875,274.4374694824219,280.18316650390625,0.4169921875,0.4188690185546875,0.407135009765625,0.3981170654296875,50.96381,13.48978,2010-01-01
GF-Guy,296.68968200683594,297.583740234375,298.5632781982422,299.4218292236328,299.8936920166016,0.4264373779296875,0.4035491943359375,0.323486328125,0.33905029296875,5.2787,-52.9248,2004-01-01
BE-Bra,273.3273010253906,275.4357147216797,277.4647979736328,280.6437530517578,282.2734375,0.2931976318359375,0.3123779296875,0.315765380859375,0.251190185546875,51.30761,4.51984,2003-01-01
CZ-BK1,270.06858825683594,273.417724609375,273.6765594482422,275.1835479736328,279.1612701416016,0.3964080810546875,0.4001007080078125,0.382171630859375,0.362701416015625,49.502075,18.536882,2004-01-01
CZ-RAJ,269.4898681640625,273.22633361816406,274.18882751464844,276.2954864501953,280.33349609375,0.346588134765625,0.3463897705078125,0.3148345947265625,0.3339996337890625,49.4437236,16.6965125,2012-01-01
FI-Hyy,247.68081665039065,271.1232147216797,271.8515167236328,273.4542999267578,276.3359375,0.3042144775390625,0.301849365234375,0.2942657470703125,0.352783203125,61.84741,24.29477,2003-01-01
FI-Ken,264.5254211425781,272.2652587890625,272.7160186767578,273.83226013183594,275.7276916503906,0.61370849609375,0.61590576171875,0.623748779296875,0.6871337890625,67.98721,24.24301,2018-01-01
FI-Let,268.6825256347656,271.8881072998047,272.8075866699219,274.56407165527344,278.0344543457031,0.3636322021484375,0.3692169189453125,0.3983917236328125,0.4009552001953125,60.64183,23.95952,2009-01-01
