Column1,dewpoint_temperature_2m,surface_pressure,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
"'2015-01-01T00:00:00',",273.141,"103,422.50","1,888,648","25,297,588",274.216,0,2.381,2.376
"'2015-01-02T05:00:00',",278.141,"101,943.54",0,"5,963,668",279.961,0.001,5.949,4.682
"'2015-01-02T06:00:00',",279.595,"101,909.05",0,"7,216,441.50",281.037,0.001,5.967,4.381
"'2015-01-02T07:00:00',",281.344,"101,971.15",0,"8,497,771",282.194,0.001,6.433,3.1
"'2015-01-02T08:00:00',",282.077,"102,108.72",226,"9,794,765",282.908,0.002,6.752,0.747
"'2015-01-06T21:00:00',",276.12,"102,078.91","2,928,752","21,549,045",277.232,0,3.356,2.146
"'2015-01-06T22:00:00',",277.133,"102,158.15","2,928,752","22,751,560",278.078,0.001,3.638,0.499
"'2015-01-08T04:00:00',",276.335,"101,985.77",0,"4,761,813",278.218,0.002,3.483,4.742
"'2015-01-08T05:00:00',",277.307,"101,938.33",0,"5,969,753.50",278.552,0.003,3.691,4.643
"'2015-01-08T07:00:00',",278.32,"101,908.31",0,"8,417,973",279.291,0.003,3.548,4.596
"'2015-01-08T11:00:00',",279.558,"101,702.41","74,346","13,382,476",280.162,0.004,2.671,4.782
"'2015-01-08T12:00:00',",279.912,"101,666.00","119,860","14,634,240",280.464,0.006,3.825,4.567
"'2015-01-08T14:00:00',",280.43,"101,500.51","174,258","17,148,254",280.812,0.015,3.633,1.958
"'2015-01-08T15:00:00',",280.182,"101,580.25","190,756","18,406,122",280.514,0.018,3.368,-2.135
"'2015-01-08T16:00:00',",278.634,"101,738.21","194,044","19,650,960",279.509,0.02,3.157,-3.82
"'2015-01-09T20:00:00',",281.722,"101,098.74","1,123,204","23,713,173",282.683,0.004,5.817,3.089
"'2015-01-09T21:00:00',",283.131,"100,996.75","1,123,204","25,002,840",284.201,0.006,8.6,2.506
"'2015-01-09T22:00:00',",283.796,"101,026.86","1,123,204","26,318,925",285.052,0.006,9.394,2.522
"'2015-01-09T23:00:00',",283.78,"101,055.78","1,123,204","27,648,270",285.236,0.006,9.317,2.47
"'2015-01-10T12:00:00',",281.131,"100,556.39","452,966","15,479,897",284.79,0,9.688,4.781
"'2015-01-10T13:00:00',",281.593,"100,562.12","543,174","16,768,422",284.704,0.001,10.517,1.907
"'2015-01-10T14:00:00',",279.965,"100,792.19","617,404","18,028,628",282.632,0.003,8.31,-3.048
"'2015-01-12T20:00:00',",279.425,"100,937.45","782,324","23,887,685",282.811,0.001,5.173,5.542
"'2015-01-12T21:00:00',",279.805,"100,891.80","782,324","25,156,145",282.789,0.001,5.042,5.783
"'2015-01-12T22:00:00',",279.969,"100,852.17","782,324","26,424,787",283.02,0.001,5.137,5.996
"'2015-01-12T23:00:00',",279.868,"100,826.69","782,324","27,691,028",282.858,0.001,4.595,6.074
"'2015-01-13T00:00:00',",279.949,"100,782.70","782,324","28,955,359",282.74,0.002,4.502,6.003
"'2015-01-13T04:00:00',",280.463,"100,468.25",0,"5,087,926",283.231,0.001,4.441,6.889
"'2015-01-13T11:00:00',",281.271,"100,113.11","152,488","13,997,016",283.033,0.009,4.553,5.102
"'2015-01-13T12:00:00',",281.249,"100,056.73","190,414","15,266,794",282.745,0.012,4.739,3.25
"'2015-01-13T15:00:00',",278.942,"100,237.90","398,434","18,987,011",280.971,0.017,3.314,1.242
"'2015-01-15T05:00:00',",278.944,"99,719.30",0,"5,912,377",280.605,0.002,2.276,8.523
"'2015-01-15T06:00:00',",279.137,"99,604.86",0,"7,148,369",281.065,0.002,2.926,8.75
"'2015-01-15T07:00:00',",279.677,"99,543.57",0,"8,397,779",281.972,0.003,3.407,8.743
"'2015-01-15T08:00:00',",279.561,"99,493.70",786,"9,648,045",282.283,0.003,3.549,8.742
"'2015-01-15T09:00:00',",279.282,"99,483.08","32,640","10,896,851",282.578,0.003,3.599,8.728
"'2015-01-19T04:00:00',",273.702,"101,155.45",0,"4,564,532.50",273.814,0.001,0.417,0.411
"'2015-01-19T05:00:00',",273.598,"101,151.54",0,"5,690,420",273.701,0.002,0.011,-0.133
"'2015-01-19T06:00:00',",273.498,"101,162.18",0,"6,787,616",273.578,0.002,-0.264,-0.529
"'2015-01-19T07:00:00',",273.458,"101,204.74",0,"7,860,897",273.574,0.002,-0.314,-1.108
"'2015-01-19T08:00:00',",273.41,"101,221.88","3,796","8,950,967",273.651,0.002,-0.456,-0.948
"'2015-01-19T09:00:00',",273.38,"101,232.52","76,050","10,051,966",273.886,0.002,-0.674,-0.883
"'2015-01-24T05:00:00',",270.008,"101,717.15",0,"5,052,005.50",272.045,0.001,1.513,4.586
"'2015-01-24T06:00:00',",270.86,"101,635.38",0,"6,160,636",272.2,0.003,1.57,4.25
"'2015-01-24T07:00:00',",272.415,"101,640.27",0,"7,299,004",273.077,0.005,3.085,3.658
"'2015-01-24T08:00:00',",272.936,"101,667.13","2,024","8,431,166",273.43,0.007,3.099,2.734
"'2015-01-24T09:00:00',",273.442,"101,686.29","34,990","9,563,519",273.882,0.007,2.723,1.52
"'2015-01-26T12:00:00',",279.672,"101,712.75","370,596","14,288,175",280.034,0.001,3.655,1.342
"'2015-01-26T13:00:00',",280.019,"101,621.55","471,794","15,536,394",280.394,0.001,3.996,0.84
"'2015-01-26T14:00:00',",280.142,"101,609.44","535,744","16,794,068",280.535,0.002,4.217,-0.592
"'2015-01-27T00:00:00',",274.722,"102,060.46","691,340","26,976,179",276.303,0.002,2.984,-1.94
"'2015-01-27T01:00:00',",274.595,"102,083.72",0,"896,327.56",275.973,0,3.177,-1.608
"'2015-01-27T02:00:00',",274.568,"102,119.88",0,"1,834,770.88",276.047,0,3.191,-1.709
"'2015-01-27T03:00:00',",274.517,"102,118.74",0,"2,756,532.25",275.946,0,3.085,-1.483
"'2015-01-27T04:00:00',",274.374,"102,137.81",0,"3,648,999",275.702,0,3.124,-1.29
"'2015-01-27T05:00:00',",274.305,"102,155.29",0,"4,542,829.50",275.547,0,3.122,-1.103
"'2015-01-27T06:00:00',",274.398,"102,167.08",0,"5,469,940.50",275.603,0,3.222,-1.065
"'2015-01-27T07:00:00',",274.735,"102,185.73",0,"6,431,776",275.994,0,3.063,-1.222
"'2015-01-27T08:00:00',",274.789,"102,228.41","18,544","7,481,048",276.313,0,2.939,-1.174
"'2015-01-27T09:00:00',",275.082,"102,240.42","210,176","8,495,793",276.89,0,3.024,-1.088
"'2015-01-27T10:00:00',",275.833,"102,258.43","547,804","9,541,448",277.666,0,3.06,-1.033
"'2015-01-27T11:00:00',",276.442,"102,254.19","1,072,690","10,601,932",278.602,0,2.981,-0.898
"'2015-01-27T12:00:00',",276.638,"102,231.00","1,850,842","11,637,637",279.474,0,3.451,-1.466
"'2015-01-27T13:00:00',",276.514,"102,166.59","2,648,782","12,609,910",279.723,0,3.449,-1.821
"'2015-01-27T14:00:00',",276.653,"102,154.48","3,325,482","13,614,630",279.577,0.001,3.136,-1.944
"'2015-01-27T15:00:00',",276.459,"102,141.57","3,733,104","14,583,336",279.036,0.001,2.776,-1.594
"'2015-01-27T16:00:00',",276.283,"102,165.71","3,868,260","15,609,446",278.32,0.001,2.649,-1.134
"'2015-01-27T17:00:00',",275.943,"102,198.49","3,870,314","16,595,517",277.284,0.001,2.529,-0.687
"'2015-01-27T18:00:00',",275.636,"102,223.09","3,870,314","17,550,663",276.531,0.001,2.6,-0.305
"'2015-01-27T19:00:00',",275.881,"102,224.77","3,870,314","18,579,671",276.725,0.001,2.493,0.175
"'2015-01-27T20:00:00',",275.613,"102,184.00","3,870,314","19,564,505",276.3,0.001,2.313,0.756
"'2015-01-27T21:00:00',",275.351,"102,140.10","3,870,314","20,537,402",275.931,0.001,2.171,1.278
"'2015-01-27T22:00:00',",275.392,"102,093.55","3,870,316","21,558,852",275.961,0.001,2.146,1.693
"'2015-01-27T23:00:00',",275.639,"102,009.49","3,870,316","22,641,158",276.252,0.001,2.214,2.059
"'2015-01-28T00:00:00',",275.889,"101,931.05","3,870,316","23,744,087",276.526,0.001,2.321,2.293
"'2015-01-28T01:00:00',",276.291,"101,810.97",0,"1,166,258.31",276.949,0,2.321,2.577
"'2015-01-28T02:00:00',",276.582,"101,695.70",0,"2,355,659.13",277.285,0,2.209,2.913
"'2015-01-28T03:00:00',",276.631,"101,579.94",0,"3,530,069.69",277.458,0,2.427,3.183
"'2015-01-28T04:00:00',",276.504,"101,490.92",0,"4,691,859.50",277.535,0,2.73,3.419
"'2015-01-28T05:00:00',",276.398,"101,357.66",0,"5,857,197",277.531,0,2.819,3.791
"'2015-01-28T06:00:00',",276.306,"101,257.24",0,"7,019,591.50",277.496,0,3.166,3.978
"'2015-01-28T07:00:00',",276.135,"101,105.21",0,"8,159,135",277.562,0,2.634,4.562
"'2015-01-28T08:00:00',",276.306,"100,939.88","13,392","9,308,479",277.672,0,2.654,5.208
"'2015-01-28T09:00:00',",276.531,"100,775.64","89,752","10,470,598",277.978,0,2.956,5.822
"'2015-01-28T10:00:00',",276.697,"100,578.49","243,874","11,657,190",278.413,0,2.998,6.426
"'2015-01-28T11:00:00',",276.766,"100,365.73","421,370","12,856,236",278.745,0,3.008,7.15
"'2015-01-28T12:00:00',",276.762,"100,081.64","592,412","14,057,997",278.903,0,3.198,7.51
"'2015-01-28T13:00:00',",276.907,"99,846.30","717,624","15,265,554",278.989,0.001,3.764,7.562
"'2015-01-28T14:00:00',",277.595,"99,590.23","763,422","16,468,408",278.819,0.002,4.507,7.477
"'2015-01-28T15:00:00',",278.107,"99,449.61","792,342","17,678,989",279.204,0.004,5.755,6.688
"'2015-01-28T16:00:00',",277.782,"99,436.31","821,798","18,885,882",279.185,0.005,8.531,1.872
"'2015-01-31T00:00:00',",273.396,"97,675.62","5,708,292","22,544,909",274.303,0.003,2.937,0.983
"'2015-01-31T01:00:00',",273.446,"97,676.11",0,"998,903",274.345,0,2.816,1.095
"'2015-01-31T02:00:00',",273.02,"97,742.43",0,"1,900,338.88",273.853,0,2.673,1.382
"'2015-01-31T03:00:00',",273.001,"97,761.43",0,"2,849,973",273.821,0,2.657,1.567
"'2015-01-31T04:00:00',",273.185,"97,771.10",0,"3,861,934.50",274.014,0,2.683,1.652
"'2015-01-31T05:00:00',",273.232,"97,798.27",0,"4,870,891",274.025,0,2.563,1.743
"'2015-01-31T06:00:00',",273.118,"97,821.62",0,"5,847,283",273.802,0,2.345,1.889
"'2015-01-31T07:00:00',",272.703,"97,881.72",0,"6,788,432",273.311,0,2.274,1.844
"'2015-01-31T08:00:00',",272.558,"97,955.71","34,574","7,677,414",273.119,0,2.191,1.921
"'2015-01-31T09:00:00',",273.319,"97,976.92","331,244","8,586,387",273.882,0,2.188,1.971
"'2015-01-31T10:00:00',",273.482,"98,047.78","858,492","9,521,614",274.828,0,3.196,2.448
"'2015-01-31T11:00:00',",273.329,"98,097.70","1,478,152","10,537,328",275.733,0,3.368,2.102
"'2015-01-31T12:00:00',",273.034,"98,134.06","2,355,038","11,473,691",276.44,0,3.494,1.887
"'2015-01-31T13:00:00',",273.022,"98,112.63","3,285,666","12,386,578",276.763,0.001,3.302,1.817
"'2015-01-31T14:00:00',",273,"98,158.27","3,963,702","13,330,089",276.841,0.001,3.018,1.608
"'2015-01-31T15:00:00',",273.28,"98,196.49","4,452,892","14,275,854",276.632,0.001,2.371,1.232
"'2015-01-31T16:00:00',",273.213,"98,264.24","4,658,670","15,209,085",275.517,0.001,1.575,0.984
"'2015-01-31T17:00:00',",272.873,"98,331.81","4,666,852","16,111,569",274.496,0.001,1.669,1.177
"'2015-01-31T18:00:00',",272.488,"98,394.57","4,666,852","16,975,396",273.653,0.001,1.665,1.339
"'2015-01-31T19:00:00',",273.015,"98,430.22","4,666,852","17,910,097",273.465,0.001,1.721,1.135
"'2015-01-31T20:00:00',",272.83,"98,488.32","4,666,852","18,853,558",273.287,0.001,1.638,1.174
"'2015-01-31T21:00:00',",272.574,"98,502.79","4,666,852","19,794,000",273.062,0.001,1.567,1.302
"'2015-01-31T22:00:00',",272.232,"98,522.34","4,666,852","20,715,688",272.774,0.001,1.471,1.555
"'2015-01-31T23:00:00',",271.856,"98,528.24","4,666,852","21,610,028",272.451,0.001,1.412,1.804
