,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,RH,CO2_F_MDS,CO2_F_MDS_QC
BE-Lon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34913,3649,3649
CZ-KrP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6553,0,0
FI-Qvd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7512,5187,5187
FR-Aur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32975,4923,4923
FR-Gri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27442,5857,5857
DE-RuS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29849,4927,4927
IT-BCi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130681,5088,5088
DK-Sor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29596,6576,6576
FR-Fon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3307,2568,2568
FR-Hes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0
DE-Hai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13598,35,35
FI-Let,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29980,11039,11039
FI-Var,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30458,0,0
FR-Bil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7383,8714,8714
DE-RuW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26664,0,0
IL-Yat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75933,12431,12431
IT-Ren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5381,0,0
IT-SR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2799,7106,7106
RU-Fy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9389,5423,5423
SE-Htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8176,0,0
SE-Nor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4888,0,0
SE-Svb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0
SE-Ros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8688,7968,7968
BE-Dor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10938,0,0
DE-RuR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7886,5641,5641
BE-Vie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74904,9505,9505
IT-Lsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES-Agu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36430,6603,6603
ES-LJu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50247,5692,5692
SE-Deg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23706,0,0
ES-Abr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15024,14053,14053
ES-LM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700,3026,3026
ES-LM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3559,3026,3026
ES-Cnd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37464,13472,13472
