,Station_Name,Start_Time,End_Time
0,BE-Maa,2016-01-01T00:00,2019-12-31T23:30
1,BE-Lon,2004-01-01T00:00,2020-12-31T23:30
2,CZ-KrP,2014-01-01T00:00,2020-12-31T23:30
3,FI-Qvd,2018-01-01T00:00,2020-12-31T23:30
4,FR-Aur,2005-01-01T00:00,2020-12-31T23:30
5,FR-Gri,2004-01-01T00:00,2020-12-31T23:30
6,FR-Lam,2005-01-01T00:00,2019-12-31T23:30
7,DE-Geb,2003-01-01T00:00,2019-12-31T23:30
8,DE-Kli,2004-01-01T00:00,2019-12-31T23:30
9,DE-RuS,2011-01-01T00:00,2020-12-31T23:30
11,CH-Oe2,2004-01-01T00:00,2019-12-31T23:30
12,CZ-Lnz,2015-01-01T00:00,2019-12-31T23:30
13,CZ-Stn,2010-01-01T00:00,2019-12-31T23:30
14,DK-Sor,2003-01-01T00:00,2020-12-31T23:30
15,FR-Fon,2005-01-01T00:00,2020-12-31T23:30
16,FR-Hes,2014-01-01T00:00,2020-12-31T23:30
17,DE-Hai,2003-01-01T00:00,2020-12-31T23:30
18,DE-HoH,2015-01-01T00:00,2019-12-31T23:30
19,DE-Hzd,2010-01-01T00:00,2019-12-31T23:30
20,GF-Guy,2004-01-01T00:00,2019-12-31T23:30
21,BE-Bra,2003-01-01T00:00,2019-12-31T23:30
22,CZ-BK1,2004-01-01T00:00,2019-12-31T23:30
23,CZ-RAJ,2012-01-01T00:00,2019-12-31T23:30
24,FI-Hyy,2003-01-01T00:00,2019-12-31T23:30
25,FI-Ken,2018-01-01T00:00,2019-12-31T23:30
26,FI-Let,2009-01-01T00:00,2020-12-31T23:30
27,FI-Var,2016-01-01T00:00,2020-12-31T23:30
28,FR-Bil,2014-01-01T00:00,2020-12-31T23:30
29,FR-FBn,2008-01-01T00:00,2019-12-31T23:30
30,DE-RuW,2012-01-01T00:00,2020-12-31T23:30
31,DE-Tha,2003-01-01T00:00,2019-12-31T23:30
32,DE-Obe,2008-01-01T00:00,2019-12-31T23:30
33,IL-Yat,2003-01-01T00:00,2020-12-31T23:30
34,IT-Ren,2003-01-01T00:00,2020-12-31T23:30
35,IT-SR2,2013-01-01T00:00,2020-12-31T23:30
36,IT-Lav,2003-01-01T00:00,2019-12-31T23:30
37,RU-Fy2,2015-01-01T00:00,2020-12-31T23:30
38,RU-Fyo,2003-01-01T00:00,2019-12-31T23:30
39,SE-Htm,2015-01-01T00:00,2020-12-31T23:30
40,SE-Nor,2014-01-01T00:00,2020-12-31T23:30
41,SE-Svb,2014-01-01T00:00,2020-12-31T23:30
42,SE-Ros,2014-01-01T00:00,2020-12-31T23:30
43,CH-Dav,2003-01-01T00:00,2019-12-31T23:30
44,BE-Dor,2011-01-01T00:00,2020-12-31T23:30
45,DE-Gri,2004-01-01T00:00,2019-12-31T23:30
46,DE-RuR,2011-01-01T00:00,2020-12-31T23:30
47,IT-MBo,2003-01-01T00:00,2019-12-31T23:30
48,IT-Tor,2008-01-01T00:00,2019-12-31T23:30
49,CH-Aws,2006-01-01T00:00,2019-12-31T23:30
50,CH-Cha,2005-01-01T00:00,2019-12-31T23:30
51,CH-Fru,2005-01-01T00:00,2019-12-31T23:30
52,BE-Vie,2003-01-01T00:00,2020-12-31T23:30
54,IT-Lsn,2016-01-01T00:00,2020-12-31T23:30
55,ES-Agu,2006-01-01T00:00,2020-12-31T23:30
56,ES-LJu,2004-01-01T00:00,2020-12-31T23:30
57,FI-Sii,2016-01-01T00:00,2019-12-31T23:30
58,FR-LGt,2017-01-01T00:00,2019-12-31T23:30
59,SE-Deg,2003-01-01T00:00,2020-12-31T23:30
60,ES-Abr,2015-01-01T00:00,2020-12-31T23:30
61,ES-LM1,2014-01-01T00:00,2020-12-31T23:30
62,ES-LM2,2014-01-01T00:00,2020-12-31T23:30
63,CZ-wet,2006-01-01T00:00,2019-12-31T23:30
64,ES-Cnd,2014-01-01T00:00,2020-12-31T23:30
